"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2018","12,346.17","12,425.45","12,479.97","12,275.04","115.40M","0.06%"
"Feb 14, 2018","12,339.16","12,294.85","12,393.71","12,075.21","134.76M","1.17%"
"Feb 13, 2018","12,196.50","12,282.76","12,300.63","12,196.22","97.53M","-0.70%"
"Feb 12, 2018","12,282.77","12,238.63","12,379.16","12,222.34","123.74M","1.45%"
"Feb 09, 2018","12,107.48","12,263.10","12,296.18","12,003.36","181.25M","-1.25%"
"Feb 08, 2018","12,260.29","12,506.18","12,541.32","12,187.45","158.76M","-2.62%"
"Feb 07, 2018","12,590.43","12,478.68","12,651.28","12,414.84","158.22M","1.60%"
"Feb 06, 2018","12,392.66","12,232.86","12,550.16","12,232.86","211.19M","-2.32%"
"Feb 05, 2018","12,687.49","12,687.79","12,752.60","12,622.44","117.46M","-0.76%"
"Feb 02, 2018","12,785.16","12,954.59","12,954.59","12,782.07","145.23M","-1.68%"
"Feb 01, 2018","13,003.90","13,235.15","13,301.41","12,971.78","126.68M","-1.41%"
"Jan 31, 2018","13,189.48","13,210.76","13,268.41","13,159.35","115.31M","-0.06%"
"Jan 30, 2018","13,197.71","13,223.97","13,309.86","13,171.91","118.71M","-0.95%"
"Jan 29, 2018","13,324.48","13,358.90","13,370.02","13,274.84","81.26M","-0.12%"
"Jan 26, 2018","13,340.17","13,297.51","13,348.69","13,268.31","78.17M","0.31%"
"Jan 25, 2018","13,298.36","13,374.38","13,443.36","13,222.47","109.40M","-0.87%"
"Jan 24, 2018","13,414.74","13,572.71","13,576.84","13,414.74","108.64M","-1.07%"
"Jan 23, 2018","13,559.60","13,577.14","13,596.89","13,517.81","100.25M","0.71%"
"Jan 22, 2018","13,463.69","13,435.14","13,470.05","13,410.96","98.24M","0.22%"
"Jan 19, 2018","13,434.45","13,297.74","13,445.47","13,294.81","111.49M","1.15%"
"Jan 18, 2018","13,281.43","13,250.25","13,293.29","13,201.34","92.42M","0.74%"
"Jan 17, 2018","13,183.96","13,200.92","13,251.44","13,137.51","90.87M","-0.47%"
"Jan 16, 2018","13,246.33","13,228.60","13,351.09","13,196.56","88.46M","0.35%"
"Jan 15, 2018","13,200.51","13,244.37","13,250.37","13,173.71","60.13M","-0.34%"
"Jan 12, 2018","13,245.03","13,241.28","13,265.14","13,168.01","90.61M","0.32%"
"Jan 11, 2018","13,202.90","13,281.20","13,298.65","13,151.84","114.00M","-0.59%"
"Jan 10, 2018","13,281.34","13,355.28","13,377.88","13,227.57","124.06M","-0.78%"
"Jan 09, 2018","13,385.59","13,383.26","13,425.02","13,361.22","97.70M","0.13%"
"Jan 08, 2018","13,367.78","13,399.62","13,407.82","13,334.16","97.94M","0.36%"
"Jan 05, 2018","13,319.64","13,219.11","13,332.80","13,219.11","116.04M","1.15%"
"Jan 04, 2018","13,167.89","13,065.98","13,208.35","13,062.67","104.33M","1.46%"
"Jan 03, 2018","12,978.21","12,916.18","13,023.59","12,893.05","87.43M","0.83%"
"Jan 02, 2018","12,871.39","12,897.69","12,924.16","12,745.15","88.71M","-0.36%"
"Dec 29, 2017","12,917.64","12,980.09","12,980.74","12,911.73","43.47M","-0.48%"
"Dec 28, 2017","12,979.94","13,065.46","13,069.40","12,965.28","44.49M","-0.69%"
"Dec 27, 2017","13,070.02","13,070.19","13,128.74","13,020.43","46.06M","-0.02%"
"Dec 22, 2017","13,072.79","13,076.76","13,108.56","13,059.87","54.51M","-0.28%"
"Dec 21, 2017","13,109.74","13,065.79","13,137.71","13,013.63","72.54M","0.31%"
"Dec 20, 2017","13,069.17","13,244.27","13,252.67","13,026.11","82.31M","-1.11%"
"Dec 19, 2017","13,215.79","13,314.73","13,338.91","13,213.19","76.17M","-0.72%"
"Dec 18, 2017","13,312.30","13,211.63","13,331.95","13,206.12","96.56M","1.59%"
"Dec 15, 2017","13,103.56","13,027.84","13,109.13","13,008.07","189.33M","0.27%"
"Dec 14, 2017","13,068.08","13,107.11","13,159.48","13,011.97","125.31M","-0.44%"
"Dec 13, 2017","13,125.64","13,148.52","13,188.07","13,120.40","122.82M","-0.44%"
"Dec 12, 2017","13,183.53","13,131.41","13,183.83","13,079.86","78.86M","0.46%"
"Dec 11, 2017","13,123.65","13,181.85","13,192.42","13,112.82","73.70M","-0.23%"
"Dec 08, 2017","13,153.70","13,146.82","13,240.92","13,136.78","107.30M","0.83%"
"Dec 07, 2017","13,045.15","13,026.30","13,083.08","12,989.00","78.82M","0.36%"
"Dec 06, 2017","12,998.85","12,897.43","13,033.75","12,864.68","87.25M","-0.38%"
"Dec 05, 2017","13,048.54","13,056.82","13,094.38","12,960.59","83.94M","-0.08%"
"Dec 04, 2017","13,058.55","13,038.77","13,117.75","12,974.32","88.47M","1.53%"
"Dec 01, 2017","12,861.49","13,044.15","13,064.29","12,810.13","117.91M","-1.25%"
"Nov 30, 2017","13,023.98","13,060.56","13,177.57","13,023.98","129.91M","-0.29%"
"Nov 29, 2017","13,061.87","13,153.74","13,196.15","13,037.34","96.18M","0.02%"
"Nov 28, 2017","13,059.53","13,008.94","13,071.01","12,966.38","68.16M","0.46%"
"Nov 27, 2017","13,000.20","13,036.74","13,117.76","12,989.37","66.08M","-0.46%"
"Nov 24, 2017","13,059.84","13,023.52","13,160.81","12,981.68","66.01M","0.39%"
