"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2018","2,285.61","2,264.60","2,298.36","2,255.75","-","0.46%"
"Aug 10, 2018","2,275.05","2,295.59","2,308.46","2,259.67","-","-1.50%"
"Aug 09, 2018","2,309.58","2,282.02","2,309.58","2,257.51","-","0.72%"
"Aug 08, 2018","2,293.01","2,308.62","2,310.65","2,275.15","-","-0.83%"
"Aug 07, 2018","2,312.19","2,303.47","2,320.38","2,301.21","-","0.54%"
"Aug 06, 2018","2,299.88","2,297.62","2,310.96","2,286.88","-","0.08%"
"Aug 03, 2018","2,297.99","2,294.37","2,299.08","2,277.30","-","0.12%"
"Aug 02, 2018","2,295.15","2,311.78","2,321.78","2,288.11","-","-0.87%"
"Aug 01, 2018","2,315.18","2,317.83","2,326.36","2,307.99","-","-0.26%"
"Jul 31, 2018","2,321.11","2,290.76","2,321.11","2,286.84","-","1.11%"
"Jul 30, 2018","2,295.72","2,288.29","2,298.76","2,276.68","-","0.13%"
"Jul 27, 2018","2,292.72","2,293.87","2,298.07","2,275.23","-","-0.02%"
"Jul 26, 2018","2,293.07","2,287.75","2,300.05","2,283.01","-","0.45%"
"Jul 25, 2018","2,282.84","2,268.11","2,285.22","2,258.31","-","0.20%"
"Jul 24, 2018","2,278.30","2,264.38","2,281.62","2,263.36","-","0.75%"
"Jul 23, 2018","2,261.25","2,250.57","2,273.13","2,250.57","-","0.60%"
"Jul 20, 2018","2,247.82","2,269.97","2,274.66","2,239.77","-","-0.95%"
"Jul 19, 2018","2,269.45","2,297.15","2,297.15","2,262.99","-","-1.10%"
"Jul 18, 2018","2,294.78","2,294.22","2,303.39","2,284.45","-","-0.70%"
"Jul 17, 2018","2,310.92","2,325.28","2,325.28","2,293.76","-","-1.00%"
"Jul 16, 2018","2,334.18","2,343.02","2,352.30","2,321.33","-","-0.52%"
"Jul 13, 2018","2,346.43","2,326.76","2,346.43","2,324.90","-","1.05%"
"Jul 12, 2018","2,322.06","2,332.23","2,336.52","2,307.95","-","-0.60%"
"Jul 11, 2018","2,336.15","2,355.79","2,355.44","2,326.24","-","-1.23%"
"Jul 10, 2018","2,365.17","2,368.28","2,379.33","2,359.16","-","-0.34%"
"Jul 09, 2018","2,373.17","2,351.69","2,375.83","2,351.69","-","1.18%"
"Jul 06, 2018","2,345.38","2,342.62","2,350.97","2,319.94","-","-0.06%"
"Jul 05, 2018","2,346.86","2,299.68","2,346.86","2,293.78","-","1.86%"
"Jul 04, 2018","2,304.06","2,301.68","2,309.57","2,299.45","-","0.10%"
"Jul 03, 2018","2,301.65","2,319.37","2,320.41","2,296.92","-","-0.76%"
"Jul 02, 2018","2,319.31","2,294.10","2,327.72","2,287.85","-","1.02%"
"Jun 29, 2018","2,295.95","2,262.16","2,295.95","2,261.58","-","2.03%"
"Jun 28, 2018","2,250.26","2,254.46","2,264.76","2,246.92","-","-0.15%"
"Jun 27, 2018","2,253.60","2,239.75","2,265.33","2,223.28","-","1.01%"
"Jun 26, 2018","2,231.03","2,238.35","2,253.30","2,229.47","-","-0.25%"
"Jun 25, 2018","2,236.65","2,234.22","2,255.69","2,232.82","-","-0.58%"
"Jun 22, 2018","2,249.68","2,250.99","2,262.18","2,236.44","-","0.17%"
"Jun 21, 2018","2,245.94","2,255.51","2,268.93","2,243.71","-","-0.46%"
"Jun 20, 2018","2,256.27","2,226.49","2,263.76","2,236.40","-","1.57%"
"Jun 19, 2018","2,221.42","2,216.94","2,228.84","2,192.63","-","-0.05%"
"Jun 18, 2018","2,222.56","2,234.53","2,241.30","2,216.21","-","-0.67%"
