"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","3,071.54","3,105.46","3,111.17","3,065.92","15.51B","-1.47%"
"Apr 19, 2018","3,117.38","3,094.27","3,127.44","3,090.29","16.01B","0.84%"
"Apr 18, 2018","3,091.40","3,091.91","3,096.89","3,041.62","15.93B","0.80%"
"Apr 17, 2018","3,066.80","3,112.97","3,118.76","3,064.03","14.72B","-1.41%"
"Apr 16, 2018","3,110.65","3,152.89","3,153.11","3,096.10","15.44B","-1.53%"
"Apr 13, 2018","3,159.05","3,192.04","3,197.90","3,155.51","12.76B","-0.66%"
"Apr 12, 2018","3,180.16","3,203.28","3,205.25","3,177.05","14.82B","-0.87%"
"Apr 11, 2018","3,208.08","3,197.37","3,220.85","3,191.59","17.59B","0.56%"
"Apr 10, 2018","3,190.32","3,144.26","3,190.65","3,139.08","16.82B","1.66%"
"Apr 09, 2018","3,138.29","3,125.44","3,146.09","3,110.30","13.96B","0.23%"
"Apr 04, 2018","3,131.11","3,147.05","3,163.34","3,128.87","14.70B","-0.18%"
"Apr 03, 2018","3,136.63","3,130.01","3,144.33","3,119.13","15.22B","-0.84%"
"Apr 02, 2018","3,163.18","3,169.78","3,192.34","3,159.99","17.77B","-0.18%"
"Mar 30, 2018","3,168.90","3,161.79","3,177.72","3,152.89","15.46B","0.26%"
"Mar 29, 2018","3,160.53","3,127.26","3,174.51","3,098.25","17.03B","1.22%"
"Mar 28, 2018","3,122.29","3,130.57","3,165.21","3,117.53","16.35B","-1.40%"
"Mar 27, 2018","3,166.65","3,164.80","3,172.78","3,143.57","18.91B","1.05%"
"Mar 26, 2018","3,133.72","3,117.32","3,134.28","3,091.46","18.64B","-0.60%"
"Mar 23, 2018","3,152.76","3,172.77","3,188.24","3,110.66","27.55B","-3.39%"
"Mar 22, 2018","3,263.48","3,281.26","3,288.80","3,242.76","15.04B","-0.53%"
"Mar 21, 2018","3,280.95","3,299.73","3,314.21","3,268.88","16.84B","-0.29%"
"Mar 20, 2018","3,290.64","3,257.22","3,292.57","3,252.43","13.99B","0.35%"
"Mar 19, 2018","3,279.25","3,264.93","3,280.57","3,251.05","13.80B","0.29%"
